blueWins,blueFirstBlood,KDA,blueDragons,blueHeralds,blueTowersDestroyed,blueGoldDiff,blueExperienceDiff
0,1,3.33,0,0,0,643,-8
0,0,2,0,0,0,-2908,-1173
0,0,1,1,0,0,-1172,-1033
0,0,1.8,0,1,0,-1321,-7
0,0,2,0,0,0,-1004,230
1,0,3.67,1,0,0,698,101
1,1,2.33,1,0,0,2411,1563
0,0,0.62,0,0,0,-2615,-800
0,0,2.14,0,0,0,-1979,-771
1,1,1.8,1,0,0,-1548,-1574
0,1,2.5,0,0,0,331,-1585
0,1,1.64,0,1,0,-1505,-635
1,1,18,1,0,0,3274,1659
0,0,0.56,0,1,0,-3414,-1141
1,1,2,0,0,0,-470,-187
0,0,0.86,0,0,0,-1996,-1804
1,1,9,0,0,0,5228,3378
0,0,0.86,0,1,0,-1975,-1345
1,1,4,0,0,0,882,512
0,0,1.11,0,0,0,-3155,-2773
1,1,4.33,1,0,0,2526,1625
0,0,0.69,0,0,0,-2835,-2821
0,0,1.17,0,0,0,-1254,-567
0,0,2.67,1,1,0,406,1283
1,0,1.78,0,0,0,-1020,493
0,0,1,0,0,0,-2472,-1067
1,0,2.83,1,0,0,1260,-55
0,1,4,0,0,0,1857,2015
0,1,3.5,1,0,0,1320,-413
0,0,0.63,1,0,0,-3282,-1647
1,1,4.75,1,0,0,2883,2111
1,1,5.5,1,1,0,1703,1696
0,0,3.25,0,0,0,608,-85
0,1,2.25,0,0,0,71,-359
1,0,2.5,0,0,0,275,872
0,0,2.25,0,0,0,-809,638
0,0,0.5,1,0,0,-2771,-1125
0,1,1.5,0,1,0,-1730,-1236
0,0,1.33,0,1,0,-904,1377
0,0,1,0,1,0,-1683,-1363
0,0,0.64,0,0,0,-3025,-1833
1,0,3.67,0,0,0,3004,2300
1,0,3.83,1,0,0,1574,761
1,1,1.6,0,0,0,-1036,-1423
0,1,1.25,0,1,0,16,433
0,0,0.1,0,0,0,-6386,-4210
1,1,10,0,0,0,5096,3310
1,1,3.25,1,0,1,2756,1683
1,0,1.33,0,1,0,-977,-1025
0,0,2.6,0,0,0,-808,-1655
0,0,1.33,0,0,0,-1559,-407
1,0,1.5,0,0,0,544,75
1,1,3.5,1,1,0,1381,1017
1,1,3.33,0,0,0,2031,1449
0,0,1.67,1,0,0,131,370
0,0,0.8,0,1,0,-2699,-2749
0,1,1.71,1,0,0,-1672,-2698
1,1,3.5,1,0,0,1201,316
1,1,2.4,1,1,0,-108,59
0,0,3,0,0,1,4633,2269
0,0,0.29,0,0,0,-2262,-1391
0,0,1.57,0,0,0,-49,500
1,1,2.5,1,0,0,1687,1089
1,1,19,1,1,0,3933,2922
0,0,0.7,1,0,0,-4061,-4397
0,0,1.08,0,0,0,-4920,-3280
0,0,1.2,0,0,0,-1705,-1839
0,1,1.88,1,0,0,105,-1547
1,0,1.2,0,0,0,-554,521
0,1,1.6,0,0,0,-1037,-1577
0,1,2,0,1,0,-1144,480
1,1,2.75,0,0,0,1173,953
0,1,9.5,0,0,0,3194,2534
0,1,0.43,1,0,0,-2622,-1136
1,1,2.5,1,0,0,1151,470
1,1,3.5,1,1,0,1463,1490
0,0,0.83,0,0,0,-1038,-1307
1,1,3.75,0,1,0,1424,1060
